ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol
A_23_P147647	8.81E-13	6.07E-17	9.2570566	27.80565	1.1930221	SGCD
A_32_P60065	8.81E-13	6.30E-17	9.2513991	27.771106	1.5767699	F2RL2
A_24_P659202	1.26E-12	1.35E-16	9.1305826	27.035124	2.0550131	
A_23_P3866	4.64E-12	6.63E-16	8.8780933	25.508119	1.2639191	COTL1
A_24_P32560	5.68E-12	1.01E-15	-8.8650893	25.074227	-1.032275	ENHO
A_23_P42375	1.46E-11	3.14E-15	8.6283572	24.013626	0.6878064	RAB32
A_23_P42282	2.21E-11	5.53E-15	8.536463	23.467943	1.6989181	C4B
A_24_P416131	2.42E-11	6.91E-15	8.5002356	23.25347	1.1759789	COTL1
A_23_P132560	5.00E-11	1.61E-14	8.3628046	22.443305	0.9458744	NXPE3
A_23_P11843	1.16E-10	4.13E-14	8.2077097	21.535791	1.0225408	LRRN2
A_23_P213385	1.21E-10	4.83E-14	8.1818857	21.385407	0.9975033	BASP1
A_23_P139912	1.21E-10	5.62E-14	-8.1569498	21.240394	-1.606305	IGFBP6
A_23_P150789	1.21E-10	5.80E-14	8.1517396	21.210119	1.9635913	PRSS23
A_23_P7212	1.21E-10	6.04E-14	8.1448995	21.170387	1.6901506	CFI
A_32_P98423	1.49E-10	8.01E-14	8.1593034	20.876721	1.0872177	NREP
A_23_P62764	1.67E-10	9.52E-14	8.0694815	20.733297	0.9628637	CCDC28B
A_24_P937405	2.16E-10	1.38E-13	8.0075052	20.375494	1.5146465	PRSS23
A_23_P67198	2.16E-10	1.43E-13	-8.0021064	20.344386	-1.1160165	CPAMD8
A_23_P7144	2.16E-10	1.46E-13	7.9978869	20.320079	2.3957298	CXCL1
A_24_P944253	3.74E-10	2.67E-13	7.8973492	19.742695	1.1055951	KLHL6
A_23_P87421	4.00E-10	3.00E-13	7.8811199	19.630422	1.9534009	PRSS23
A_32_P377880	4.76E-10	3.75E-13	7.8472761	19.411737	1.2057707	GDNF
A_24_P201739	4.76E-10	3.91E-13	7.8332807	19.376549	0.8464853	SH2B3
A_23_P330611	5.12E-10	4.39E-13	7.8136547	19.264672	0.9714802	WIPF1
A_24_P392496	5.32E-10	4.75E-13	7.800414	19.189271	1.4328462	LOC100133920
A_23_P160720	5.78E-10	5.37E-13	7.7798003	19.072006	0.8160806	BATF3
A_23_P154605	9.80E-10	9.45E-13	7.6840955	18.529547	1.0227035	SULF2
A_23_P43484	1.02E-09	1.02E-12	7.6713218	18.457394	2.3122616	CDKN2A
A_23_P83624	1.10E-09	1.14E-12	7.6658162	18.354763	0.9481579	COTL1
A_23_P142815	1.45E-09	1.55E-12	-7.6436748	18.060975	-2.0550471	ATP6V1B1
A_24_P246825	1.50E-09	1.66E-12	7.5882868	17.989825	1.6665917	
A_24_P944570	1.59E-09	1.82E-12	7.5725429	17.901459	1.246732	PXDN
A_23_P214907	1.68E-09	2.03E-12	7.5534143	17.79422	1.6869602	MTHFD1L
A_23_P99141	1.68E-09	2.05E-12	7.5585327	17.789141	0.9527331	GPR162
A_32_P118847	1.82E-09	2.29E-12	7.5420215	17.675255	1.2250546	NR2F1-AS1
A_23_P71037	1.82E-09	2.34E-12	7.52944	17.660009	1.8873834	IL6
A_32_P131640	1.90E-09	2.51E-12	-7.5172482	17.59184	-1.8647555	SLITRK4
A_32_P135243	1.93E-09	2.62E-12	7.5095888	17.549043	1.4338301	MTHFD1L
A_23_P113825	1.94E-09	2.70E-12	7.504419	17.52017	1.1612234	NACC2
A_23_P15876	1.98E-09	2.86E-12	7.4980372	17.463791	1.5359556	ALPK2
A_23_P147106	1.98E-09	2.90E-12	7.4923256	17.452667	0.8678133	TOR4A
A_23_P159382	2.17E-09	3.26E-12	7.4724518	17.341856	0.7716617	SEC24D
A_23_P52986	2.58E-09	3.96E-12	7.4388214	17.154687	1.919172	VWCE
A_24_P119745	2.79E-09	4.38E-12	7.4214023	17.057913	1.5968215	FN1
A_23_P165722	2.81E-09	4.51E-12	7.4161004	17.028481	0.4081566	EIF4E2
A_24_P92472	3.28E-09	5.39E-12	7.3855482	16.859094	1.6043368	CFI
A_23_P365081	3.63E-09	6.09E-12	-7.3759142	16.73933	-0.9376396	FOXL1
A_23_P37535	4.47E-09	7.66E-12	7.324471	16.52157	0.8696913	RAB8B
A_23_P9232	4.55E-09	7.96E-12	7.3176784	16.484124	0.6488881	GCNT1
A_23_P79816	4.70E-09	8.40E-12	-7.328768	16.42855	-0.6948886	EMILIN3
A_24_P383523	4.77E-09	8.69E-12	7.3025515	16.400799	0.7970327	SAMD4A
A_32_P28284	4.84E-09	8.98E-12	7.2966547	16.368343	0.9364848	TPM4
A_32_P170397	5.17E-09	1.01E-11	-7.3219427	16.257923	-2.1447486	LOC105370792
A_23_P20196	5.17E-09	1.03E-11	7.2725467	16.235793	0.9628078	ARPC1B
A_32_P183519	5.17E-09	1.05E-11	-7.3049059	16.221392	-1.9089388	
A_24_P177795	5.17E-09	1.06E-11	7.267168	16.206253	0.8679705	
A_23_P215720	5.17E-09	1.08E-11	-7.2724938	16.191023	-1.5071102	CFTR
A_24_P406334	5.17E-09	1.09E-11	7.2633792	16.185451	1.1093105	STEAP1
A_24_P42501	5.17E-09	1.10E-11	7.2616862	16.176158	0.7436079	ACOT9
A_23_P64611	5.17E-09	1.11E-11	7.2628377	16.164655	0.9149051	P2RY6
A_23_P16469	5.43E-09	1.18E-11	7.2486847	16.104828	1.2420272	PLAUR
A_23_P135294	5.43E-09	1.22E-11	7.2461534	16.076448	0.8140995	ALDH1B1
A_24_P88696	5.43E-09	1.22E-11	7.2569773	16.076028	1.8920549	SCG2
A_32_P111565	5.48E-09	1.27E-11	7.2366236	16.038719	0.8694688	FTH1
A_23_P217845	5.48E-09	1.27E-11	7.2385183	16.031571	0.9873725	RGS16
A_24_P753760	5.84E-09	1.38E-11	7.2248509	15.959897	0.8739652	
A_23_P250122	6.52E-09	1.56E-11	7.2001257	15.839029	0.7050843	FAM20C
A_24_P58337	6.98E-09	1.72E-11	7.1831779	15.746489	0.8675234	FTH1
A_23_P154929	6.98E-09	1.72E-11	7.1855283	15.745239	0.9183854	BID
A_32_P21993	7.34E-09	1.84E-11	7.1716178	15.683435	0.7801031	TPM4
A_24_P127051	7.73E-09	1.96E-11	7.1598773	15.619454	0.7514355	
A_23_P61406	8.26E-09	2.12E-11	-7.1484905	15.543633	-1.264528	SHC3
A_32_P37867	8.28E-09	2.16E-11	7.1430698	15.527959	1.4079431	KIAA1644
A_24_P940166	8.43E-09	2.23E-11	7.1375236	15.497794	0.9034817	PAPSS2
A_23_P14986	9.27E-09	2.48E-11	-7.1183204	15.393446	-1.8190479	HSD11B2
A_23_P153320	9.33E-09	2.56E-11	7.1129904	15.364511	0.8203407	ICAM1
A_32_P99171	9.33E-09	2.59E-11	7.1110358	15.353903	1.1744974	CHST11
A_23_P141974	9.33E-09	2.64E-11	7.1078466	15.336598	0.8240262	TPM4
A_23_P46426	9.33E-09	2.69E-11	7.1044991	15.318438	1.5547246	CYR61
A_23_P121064	9.33E-09	2.69E-11	7.1044379	15.318106	2.5217187	PTX3
A_24_P408736	9.33E-09	2.70E-11	7.103636	15.313757	1.9113998	GALNT5
A_32_P30600	9.70E-09	2.84E-11	7.0970903	15.264791	1.7206664	
A_24_P236799	9.71E-09	2.88E-11	7.0921537	15.251509	0.6441023	RAB31
A_24_P158089	1.01E-08	3.04E-11	7.0823547	15.19843	1.7593819	SERPINE1
A_23_P93780	1.01E-08	3.08E-11	7.0804214	15.187962	0.9338734	HGF
A_23_P387630	1.01E-08	3.09E-11	7.0797547	15.184353	0.6969566	STARD8
A_23_P111995	1.01E-08	3.14E-11	7.0766631	15.167618	1.6536109	LOXL2
A_23_P6935	1.08E-08	3.41E-11	7.0623649	15.090276	1.072223	CD47
A_23_P257144	1.17E-08	3.75E-11	7.0453897	14.998565	1.0802343	PXDN
A_23_P110052	1.17E-08	3.76E-11	7.0447245	14.994974	1.7076423	FOXL2
A_23_P53152	1.21E-08	3.92E-11	7.037291	14.954854	0.6149903	AKIP1
A_23_P211039	1.21E-08	3.99E-11	7.0368377	14.939338	1.2901845	ADAMTS1
A_23_P112026	1.21E-08	4.01E-11	7.0334179	14.93396	1.5815303	IDO1
A_23_P49338	1.26E-08	4.22E-11	7.0242533	14.884545	1.2378732	TNFRSF12A
A_23_P214908	1.28E-08	4.33E-11	7.0198082	14.86059	1.2409046	MTHFD1L
A_23_P120953	1.48E-08	5.07E-11	-6.9916594	14.709094	-1.6002251	SERHL2
A_23_P207699	1.51E-08	5.23E-11	-7.0123313	14.685438	-1.0519023	MAPT
A_23_P251043	1.56E-08	5.47E-11	6.9806536	14.637252	1.2687259	SYNDIG1
A_24_P497464	1.57E-08	5.55E-11	-7.0042736	14.623656	-1.6643865	SOX9-AS1
A_23_P25194	1.61E-08	5.74E-11	6.9696901	14.591093	1.9025477	HRK
A_24_P920534	1.66E-08	5.98E-11	-7.0053157	14.560881	-1.7624913	GSTM3
A_23_P128486	1.66E-08	6.06E-11	6.9599701	14.538952	0.9449322	TIGAR
A_32_P462013	1.66E-08	6.10E-11	-6.9586523	14.531886	-1.2082876	CRACR2A
A_32_P69149	1.70E-08	6.33E-11	6.951996	14.496207	1.0988516	STEAP1
A_23_P344451	2.03E-08	7.63E-11	6.9186652	14.31784	1.1444292	HDGFRP3
A_23_P213298	2.12E-08	8.03E-11	6.9144217	14.270497	0.8876689	ARSJ
A_23_P13222	2.16E-08	8.25E-11	6.9047553	14.243547	0.614998	RCN1
A_23_P156687	2.19E-08	8.46E-11	6.9002006	14.219239	1.0202121	CFB
